ID,Time,Sex,Age,Weight,PrExp,Ketamine,Isoflurane,NormalizedTotalKetamineIsoflurane,DexdomitorandAtipamezole,SexKetamine,SexIsoflurane,KetamineDexdomitorAtipamezole,SexKetamineDexdomitorAtipamezole,01_cst_r_frontal,02_opt_r,03_optr_r_inferior,04_opt_l,05_optr_l_superior,06_cc3v,07_ccg_32,08_fornix_r,09_cst_l_frontal,10_cc5v,11_icp_r,12_scp_r,13_cc1d,14_cst_l_parietal,15_cg_r,16_cc3d,17_uf_l_lateral,18_cc_tapetum_inf,19_uf_r_lateral,20_ilf_l,21_ilf_r,22_cc1v,23_ccs,24_scp_l,25_ccg_ant,26_icp_l,27_uf_r_medial,28_cc_tapetum_sup,29_optr_r_superior,30_cg_l,31_uf_l_medial,32_cc4d,33_optr_l_inferior,34_cst_r_parietal,35_fornix_l
8,12,1,371,2.1,1,25,0,2.5,0.165,25,0,25.165,25.165,0.52837,0.34435,0.43238,0.33015,0.45737,0.51801,0.30308,0.39369,0.53867,0.5107,0.37553,0.44335,0.45089,0.53709,0.36079,0.42711,0.38017,0.328244083,0.39002,0.39146,0.40561,0.49851,0.5161,0.44307,0.40627,0.39223,0.27288,0.296726327,0.49659,0.34506,0.30936,0.35224,0.4176,0.52444,0.397045
8,16,1,490,2.6,2,50,0,5,0.495,50,0,50.495,50.495,0.54229,0.34839,0.4442,0.32983,0.46868,0.52012,0.3051,0.386601429,0.52549,0.50195,0.3895,0.44672,0.45031,0.52103,0.34874,0.42721,0.39386,0.319873583,0.3906,0.39937,0.41301,0.50648,0.50478,0.442,0.41531,0.39855,0.27082,0.281930612,0.50364,0.36437,0.32278,0.34553,0.43707,0.54201,0.38526125
8,20,1,616,3.28,3,69,0,6.9,0.66,69,0,69.66,69.66,0.54041,0.36687,0.4614,0.3366,0.47917,0.5409,0.3032,0.407628571,0.52183,0.51775,0.38245,0.44683,0.45486,0.52357,0.40057,0.44647,0.38452,0.344137833,0.39098,0.41319,0.43656,0.49774,0.52771,0.44922,0.41586,0.41456,0.28562,0.298933878,0.52245,0.39074,0.31093,0.37148,0.44372,0.53269,0.413288333
8,24,1,750,3.806,4,84,0,8.4,0.825,84,0,84.825,84.825,0.52998,0.36916,0.48362,0.33944,0.48643,0.53919,0.31808,0.413662857,0.52642,0.53427,0.3745,0.43108,0.46081,0.52214,0.38624,0.45346,0.40156,0.326922167,0.41078,0.42571,0.4255,0.50751,0.53746,0.42728,0.43995,0.39533,0.30999,0.30078449,0.52416,0.37354,0.33349,0.39027,0.4706,0.5236,0.40551625
10,6,0,197,1.53,0,0,0,0,0,0,0,0,0,0.48875,0.34005,0.42318,0.33808,0.45181,0.49314,0.31424,0.394885714,0.47358,0.485,0.32531,0.4338,0.46561,0.46809,0.35522,0.43201,0.38479,0.32056975,0.41329,0.41658,0.407,0.47419,0.4931,0.44985,0.42505,0.36771,0.32725,0.305650612,0.48747,0.30986,0.31444,0.38028,0.42495,0.47989,0.393186667
10,10,0,316,2.31,1,15,0,1.5,0.165,0,0,15.165,0,0.52929,0.36023,0.4557,0.35501,0.48345,0.51953,0.30901,0.419892857,0.50349,0.50921,0.35436,0.43996,0.45778,0.49601,0.35716,0.44929,0.40121,0.351753667,0.41868,0.44014,0.43548,0.48774,0.54195,0.45882,0.42747,0.37688,0.28746,0.317317959,0.516,0.32913,0.28518,0.40111,0.45698,0.51627,0.408639167
10,14,0,427,2.648,2,30,0,3,0.33,0,0,30.33,0,0.55076,0.3787,0.47661,0.3805,0.50295,0.55193,0.32177,0.43208,0.52367,0.52614,0.35886,0.45067,0.47138,0.51153,0.39246,0.48046,0.41469,0.372488667,0.43597,0.46626,0.44341,0.49561,0.55485,0.46232,0.45352,0.41418,0.32709,0.322152245,0.53929,0.35237,0.31385,0.42778,0.47646,0.53103,0.423640833
10,18,0,540,3.42,3,45,0,4.5,0.495,0,0,45.495,0,0.5657,0.37201,0.48159,0.37045,0.5015,0.56714,0.32365,0.440781429,0.54458,0.5335,0.34623,0.44765,0.49318,0.52903,0.39159,0.49121,0.43008,0.362094167,0.44082,0.45597,0.44686,0.52737,0.56177,0.46068,0.46024,0.37546,0.31406,0.324291429,0.53761,0.36737,0.30522,0.43402,0.47278,0.54502,0.432249167
10,22,0,652,3.84,4,60,0,6,0.66,0,0,60.66,0,0.56989,0.37595,0.49554,0.37123,0.512,0.5785,0.32108,0.423654286,0.54533,0.54264,0.34945,0.43583,0.47197,0.52879,0.39218,0.49244,0.43843,0.36414,0.45721,0.46451,0.47563,0.52239,0.57954,0.44016,0.45646,0.37322,0.34788,0.319935918,0.55482,0.36089,0.34184,0.44039,0.48447,0.54252,0.414599167
11,16,1,498,2.32,0,0,0,0,0,0,0,0,0,0.54701,0.35671,0.45097,0.34047,0.48527,0.52271,0.28108,0.384427143,0.5479,0.51026,0.37072,0.4207,0.47464,0.54572,0.3494,0.45917,0.37842,0.33521725,0.36577,0.41115,0.42417,0.49598,0.46552,0.41487,0.38707,0.39411,0.23349,0.309552653,0.47539,0.35253,0.23095,0.34637,0.46047,0.53364,0.390547083
